 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 78°	-	-	-	-	Vento (2) 258°	-	-	-	-	Vento (3) 348°	-	-	-	-	Vento (4) 168°	-	-	-	-	Vento (5) 33°	-	-	-	-	Vento (6) 123°	-	-	-	-	Vento (7) 213°	-	-	-	-	-	Vento (8) 303°	-	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Mz	Fz	Fx	Fy	Mx	My	Mz
 P102	   -0,70	   -2,01	   -1,66	  -13,30	    2,50	   -7,29	  -37,75	   -2,81	    0,10	    0,18	   -0,55	    0,24	    2,81	   -0,10	   -0,18	    0,55	   -0,24	   47,36	    3,99	   -0,84	    4,51	   20,83	  -47,36	   -3,99	    0,84	   -4,51	  -20,83	   15,61	    2,09	    0,01	    0,87	   10,26	  -28,72	   -1,66	    0,81	   -3,40	   -9,28	  -15,61	   -2,09	   -0,01	   -0,87	  -10,26	   -0,00	   28,72	    1,66	   -0,81	    3,40	    9,28	   -0,00
 P103	   -0,21	   -2,29	   -2,03	  -17,86	    3,49	   -9,91	  -49,96	    3,99	    0,03	    0,20	   -0,61	   -0,01	   -3,99	   -0,03	   -0,20	    0,61	    0,01	   61,29	    4,13	   -0,89	    4,57	   21,06	  -61,28	   -4,13	    0,89	   -4,57	  -21,06	   37,31	    1,96	    0,04	    0,72	    9,65	  -18,40	   -1,84	    0,87	   -3,52	   -9,71	  -37,31	   -1,96	   -0,04	   -0,72	   -9,65	   -0,00	   18,40	    1,84	   -0,87	    3,52	    9,71	   -0,00
 P104	   -1,05	   -4,35	  -19,97	  -37,73	    7,39	  -22,69	 -113,50	   11,31	    0,05	    0,41	   -1,29	   -0,21	  -11,30	   -0,05	   -0,41	    1,29	    0,21	  280,09	    8,30	   -1,69	   10,39	   48,37	 -280,05	   -8,30	    1,69	  -10,39	  -48,36	  153,52	    3,88	    0,15	    1,86	   21,57	  -99,43	   -3,67	    1,71	   -7,70	  -22,50	 -153,52	   -3,88	   -0,15	   -1,86	  -21,58	    0,00	   99,41	    3,67	   -1,71	    7,70	   22,50	   -0,00
 P105	   -4,97	  -21,16	    1,87	  -94,23	   19,29	  -95,62	 -453,33	   -1,89	    0,35	    0,70	   -3,07	   -3,37	    1,89	   -0,35	   -0,70	    3,07	    3,38	   50,02	   19,82	   -4,28	   57,90	  265,94	  -50,02	  -19,82	    4,28	  -57,89	 -265,91	   18,19	    9,75	   -0,37	   19,35	  112,88	  -26,73	   -8,11	    3,52	  -33,15	 -127,63	  -18,19	   -9,75	    0,37	  -19,35	 -112,89	   -0,00	   26,72	    8,11	   -3,52	   33,14	  127,61	   -0,00
 P106	   -1,26	   -6,05	   -1,59	  -25,86	    5,47	  -17,83	  -83,70	    5,65	    0,08	    0,09	   -0,14	    0,71	   -5,65	   -0,08	   -0,09	    0,15	   -0,71	   48,77	   10,21	   -2,22	   15,39	   70,68	  -48,77	  -10,21	    2,22	  -15,39	  -70,67	   36,40	    5,01	   -0,85	    6,95	   35,00	  -10,11	   -4,76	    1,28	   -7,76	  -32,46	  -36,40	   -5,01	    0,85	   -6,96	  -35,01	   -0,00	   10,10	    4,76	   -1,28	    7,76	   32,45	   -0,00
 P107	   -2,01	  -10,82	  -14,56	  -40,28	    8,00	  -31,91	 -154,98	  -11,52	    0,48	    0,30	   -0,92	    1,26	   11,53	   -0,48	   -0,30	    0,92	   -1,25	  256,70	   13,51	   -2,94	   28,02	  128,77	 -256,66	  -13,51	    2,94	  -28,02	 -128,76	   94,47	    7,42	   -0,72	   11,09	   63,27	 -148,73	   -5,38	    2,09	  -15,49	  -58,53	  -94,49	   -7,42	    0,72	  -11,10	  -63,28	   -0,00	  148,71	    5,38	   -2,09	   15,48	   58,52	   -0,00
 P108	    1,21	   -0,89	   -3,89	   -4,58	   -8,17	   20,85	  -11,50	  -12,41	    0,61	    2,82	   -9,73	    2,09	   12,41	   -0,61	   -2,82	    9,74	   -2,09	   66,23	    0,51	    0,28	   -0,34	    1,78	  -66,22	   -0,51	   -0,28	    0,34	   -1,78	    0,58	    1,59	    6,43	  -21,97	    5,47	  -58,26	    1,17	    6,34	  -22,29	    4,03	   -0,59	   -1,59	   -6,43	   21,96	   -5,47	   -0,00	   58,25	   -1,17	   -6,34	   22,29	   -4,03	   -0,00
 P109	   -2,69	  -15,46	  -15,51	  -32,22	    6,61	  -29,65	 -140,97	   19,95	   -0,09	    0,30	   -0,15	    2,97	  -19,94	    0,09	   -0,30	    0,16	   -2,96	  300,46	   15,91	   -3,47	   41,20	  189,25	 -300,41	  -15,91	    3,47	  -41,20	 -189,22	  192,93	    7,38	   -0,99	   19,31	   96,94	 -101,25	   -8,04	    2,38	  -20,49	  -85,66	 -192,95	   -7,38	    0,99	  -19,32	  -96,96	    0,00	  101,23	    8,04	   -2,38	   20,49	   85,65	    0,00
 P110	   -5,77	  -25,82	  -10,39	  -67,48	   13,87	  -75,51	 -355,83	    0,45	   -0,14	    0,57	   -1,72	   -0,48	   -0,44	    0,14	   -0,57	    1,73	    0,49	  186,30	   17,79	   -3,76	   61,05	  281,06	 -186,28	  -17,79	    3,76	  -61,04	 -281,03	   87,27	    7,94	   -0,46	   24,39	  129,00	  -84,76	   -8,64	    3,07	  -32,41	 -132,07	  -87,27	   -7,94	    0,46	  -24,39	 -129,01	   -0,00	   84,74	    8,64	   -3,07	   32,40	  132,05	   -0,00
 P111	   -1,90	   -8,34	  -35,08	  -74,65	   15,94	  -54,61	 -254,35	  -41,82	   -0,73	    0,39	   -1,18	   -2,43	   41,83	    0,73	   -0,39	    1,18	    2,43	  300,96	   14,68	   -3,23	   23,89	  109,51	 -300,93	  -14,68	    3,23	  -23,89	 -109,50	   37,67	    4,93	   -0,58	    8,10	   43,76	 -230,53	   -8,19	    2,32	  -13,33	  -54,29	  -37,69	   -4,93	    0,58	   -8,10	  -43,76	   -0,00	  230,51	    8,19	   -2,32	   13,33	   54,28	   -0,00
