 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 90°	-	-	-	-	Vento (2) 270°	-	-	-	-	Vento (3) 0°	-	-	-	-	Vento (4) 180°	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My
 P2A	    2,87	   -0,62	    4,33	    2,83	   20,29	  -50,57	    6,07	  103,10	   -0,17	    7,18	  -35,76	   -0,16	 -103,10	    0,17	   -7,18	   35,76	    0,16	   -3,28	    0,29	   -0,21	    0,62	    0,93	    3,28	   -0,29	    0,21	   -0,62	   -0,93
 P3A	    0,86	   -3,35	    3,99	    6,27	   29,72	  -82,40	   14,21	  253,09	    3,34	    9,79	  -67,91	   -0,92	 -253,09	   -3,34	   -9,79	   67,91	    0,92	  -18,12	    0,37	   -0,19	    0,61	    2,39	   18,12	   -0,37	    0,19	   -0,61	   -2,39
 P5A	   -0,92	    3,57	    9,04	    5,91	   29,68	  -80,75	   13,89	  250,67	   -3,66	   10,24	  -69,68	    0,46	 -250,67	    3,66	  -10,24	   69,68	   -0,46	   17,74	    0,38	    0,05	    0,00	    2,43	  -17,74	   -0,38	   -0,05	   -0,00	   -2,43
 P6A	   -0,04	    0,99	    5,42	    2,64	   19,16	  -46,94	    5,61	   92,91	   -0,02	    7,89	  -38,24	   -0,06	  -92,91	    0,02	   -7,89	   38,24	    0,06	    2,79	    0,33	    0,10	   -0,25	    0,98	   -2,79	   -0,33	   -0,10	    0,25	   -0,98
 P7A	   -1,19	    0,10	   17,20	    1,35	   15,30	  -37,49	    2,89	  162,42	   -0,02	    6,08	  -31,06	   -0,04	 -162,42	    0,02	   -6,08	   31,06	    0,04	   12,92	    0,16	    0,12	   -0,34	    0,50	  -12,92	   -0,16	   -0,12	    0,34	   -0,50
 P8A	    9,31	    0,25	   -3,54	   12,97	   31,03	   -4,36	   27,29	   33,65	   -0,58	    8,20	   -3,95	   -0,53	  -33,65	    0,58	   -8,20	    3,95	    0,53	  -19,72	    1,06	    0,28	    0,13	    3,92	   19,72	   -1,06	   -0,28	   -0,13	   -3,92
 P9A	   -0,39	    0,11	   -9,98	    1,03	   16,71	  -31,16	    1,47	  -78,54	    0,11	    9,59	  -23,96	    0,07	   78,54	   -0,11	   -9,59	   23,96	   -0,07	    9,74	    0,11	   -0,72	   -0,79	    0,26	   -9,74	   -0,11	    0,72	    0,79	   -0,26
 P10A	   -0,02	    0,12	    3,95	   15,81	    0,95	   -2,09	   39,24	   90,00	   -0,33	    0,49	   -1,41	   -0,75	  -90,00	    0,33	   -0,49	    1,41	    0,75	   -6,17	    1,19	   -0,04	    0,06	    6,33	    6,17	   -1,19	    0,04	   -0,06	   -6,33
 P11A	   -1,59	   -0,03	    5,11	    1,31	   13,88	  -32,79	    2,70	   86,80	    0,13	    5,54	  -25,09	    0,13	  -86,80	   -0,13	   -5,54	   25,09	   -0,13	    6,18	    0,17	    0,10	   -0,22	    0,49	   -6,18	   -0,17	   -0,10	    0,22	   -0,49
 P12A	    0,11	    5,56	   -1,31	   33,38	   24,96	   -4,28	   92,32	  106,08	   -0,36	    8,76	   -3,31	   -1,09	 -106,08	    0,36	   -8,76	    3,31	    1,09	  -11,57	    3,56	   -0,37	   -0,01	   20,32	   11,57	   -3,56	    0,37	    0,01	  -20,32
 P13A	    0,49	   -0,55	    1,69	   33,50	    8,48	   -2,58	   90,15	   69,31	   -0,38	    2,53	   -1,71	   -1,12	  -69,31	    0,38	   -2,53	    1,71	    1,12	   -0,33	    3,59	    0,05	    0,01	   20,19	    0,33	   -3,59	   -0,05	   -0,01	  -20,19
 P14A	    0,26	   -0,08	    8,60	   34,26	   29,40	   -3,85	   92,81	  104,69	   -0,31	    8,48	   -3,49	   -1,58	 -104,69	    0,31	   -8,48	    3,49	    1,58	   10,99	    3,62	    0,47	    0,06	   20,69	  -10,99	   -3,62	   -0,47	   -0,06	  -20,69
 P15A	   36,55	   49,75	   -6,97	   53,41	   54,31	-1339,56	 1613,84	   65,29	   -1,56	   17,56	-1892,54	    2,67	  -65,29	    1,56	  -17,56	 1892,54	   -2,67	  -68,25	    4,67	   -0,56	   16,46	  466,51	   68,25	   -4,67	    0,56	  -16,46	 -466,51
 P16A	  -65,69	  -49,41	    9,60	   62,02	   55,39	-1086,52	 1077,86	   38,21	   -0,08	   20,19	-1967,30	  -26,58	  -38,21	    0,08	  -20,19	 1967,30	   26,58	   68,25	    6,07	    0,09	   -8,99	  439,08	  -68,25	   -6,07	   -0,09	    8,99	 -439,08
 P17A	    5,09	   -2,53	   13,38	   39,33	   37,95	  -99,04	    6,63	   91,88	    1,19	   13,22	  -75,01	   -0,40	  -91,88	   -1,19	  -13,22	   75,01	    0,40	  -13,08	    2,93	   -0,64	   -0,47	    1,65	   13,08	   -2,93	    0,64	    0,47	   -1,65
 P18A	    4,80	    3,18	   17,47	   31,96	   49,13	  -68,81	    7,31	   90,40	   -0,71	   13,67	  -77,16	    0,15	  -90,40	    0,71	  -13,67	   77,16	   -0,15	   11,37	    3,04	    0,86	    1,66	    1,67	  -11,37	   -3,04	   -0,86	   -1,66	   -1,67
